90.1249	-5556.98 19.6976 -65.8179 -58.331 343 52.5897 6.28818 -37.7133 -36.1087
77.7096	-6573.53 -4.8431 -75.2608 18.7389 343 40.1313 0.328762 -38.0574 12.7298
114.475	-6647.24 100.472 -50.7798 -20.7639 343 51.4243 44.1164 -24.911 -8.81188
70.4015	-4971.95 -15.0907 -12.3333 -67.6501 343 37.0854 -1.39007 -8.08192 -36.1673
65.3553	-2469.17 -10.2072 35.4787 53.9295 343 29.2899 -13.9749 13.5341 21.8959
80.3405	-4206.36 -57.47 46.1481 31.9711 343 39.169 -28.22 22.5421 15.1558
102.883	-6063.1 19.2218 -40.8883 -92.4312 343 35.6103 7.44121 -11.3383 -32.9266
62.7286	-5797.57 -11.0968 47.1496 39.858 343 38.0045 -8.16 26.8434 25.6358
105.247	-6315.13 -98.6274 -25.7554 -26.1963 343 59.513 -56.8956 -15.062 -8.82183
126.397	-6274.46 -59.45 7.61538 111.283 343 64.2831 -25.099 2.69766 59.1192
120.03	-4681.22 52.7592 24.0311 -105.101 343 62.5976 27.1095 8.37417 -55.7979
113.424	-6747.5 -95.6459 -56.2853 23.4282 343 60.3327 -50.1944 -28.8166 17.0344
111.124	-5326.73 -8.97572 -27.728 -107.234 343 57.6212 -2.82532 -10.1539 -56.6491
100.487	-3754.6 -65.8495 -63.2193 42.0102 343 43.263 -27.6309 -31.5691 10.5644
13.4642	-2046.81 12.4784 3.51496 3.63589 343 0.938416 0.936357 0.0548532 0.0291901
116.014	-5048.12 -113.989 -21.3356 -3.26406 343 60.5421 -58.747 -14.5215 1.80826
107.539	-5419.76 3.49285 26.5784 104.144 343 52.5681 -2.12689 16.1863 49.9689
39.8389	-3621.33 -7.58792 15.7127 -35.8144 343 22.1383 -4.61119 4.96699 -21.0753
134.435	-6992.39 -21.214 -31.8628 -128.87 343 73.041 -10.0636 -14.6053 -70.8548
95.2319	-3668.47 59.2955 45.3132 -59.1597 343 49.8776 24.0298 23.8159 -36.6489
120.067	-3415.46 -34.2237 64.8279 95.0906 343 56.6595 -18.7359 26.2911 46.5622
97.5259	-2918.46 -4.9666 5.84606 -97.2237 343 46.3566 0.253496 3.84891 -46.1958
100.299	-5416.75 -77.7245 46.9946 -42.5483 343 45.3493 -30.2356 25.9605 -21.643
120.74	-6070.82 30.0126 3.33367 -116.903 343 54.6747 15.4422 -0.623571 -52.4449
123.211	-3999.84 -66.2697 73.8862 73.0074 343 62.8636 -34.7585 39.4741 34.4307
136.406	-7325.26 -81.1949 -59.8612 -91.8186 343 71.2047 -40.2435 -36.3821 -46.1185
125.249	-6977.01 17.295 -72.0125 101.007 343 60.9367 10.4389 -28.1528 53.0257
111.239	-4753.1 95.7168 -23.6461 -51.5094 343 53.1445 46.1405 -12.9941 -22.9467
78.6302	-4817.6 69.4838 12.8705 -34.4827 343 38.2245 31.0108 10.1935 -19.8881
131.695	-6534.08 39.8016 4.79144 125.445 343 68.1272 26.8541 9.80559 61.8387
82.3641	-4415.44 -0.780634 -81.7157 -10.2849 343 42.9541 0.0829952 -42.0788 -8.62695
118.806	-5874.76 53.7783 105.933 -1.05171 343 62.2614 36.0787 50.5207 4.74018
106.142	-4688.2 57.3691 -89.0391 6.84906 343 48.2363 23.9394 -41.8758 -0.26375
123.726	-5812.98 73.8525 98.8902 -8.63986 343 60.9521 33.9829 49.2398 -11.652
37.9763	-2810.63 -3.87332 26.9445 -26.48 343 22.6381 2.53439 16.6167 -15.1639
80.1136	-3813.27 -57.0776 7.17162 55.7575 343 34.2067 -18.9357 1.56064 28.4447
86.2346	-3050.02 -24.8701 -5.27488 -82.4018 343 51.4399 -19.0727 5.75992 -47.4248
79.5136	-4698.31 -62.0065 49.6014 4.16058 343 41.531 -34.0558 23.6936 1.90821
93.6588	-4417.07 38.4724 -83.7291 -16.7714 343 51.0451 22.1499 -44.6797 -10.8954
129.47	-6271.05 63.8621 111.566 15.3934 343 64.8349 35.9442 53.2844 8.5062
101.291	-6943 -43.9759 -8.2956 -90.8685 343 54.5444 -26.993 -9.95289 -46.3401
127.948	-6209.42 -51.8501 75.8266 -89.0658 343 66.9586 -26.9837 39.8853 -46.5242
57.6938	-2286.9 42.8894 -28.0608 -26.489 343 25.1095 14.3243 -10.7181 -17.6189
111.358	-5597.87 -79.9004 -2.82445 -77.5148 343 61.7987 -41.6648 -5.38101 -45.3229
51.2801	-2788.23 1.4789 7.70637 -50.6761 343 23.7683 6.24745 2.49965 -22.7959
118.352	-4501.24 -6.44966 -52.6309 105.809 343 65.7803 -4.29147 -30.5338 58.1062
42.6621	-3872.36 17.8125 -34.5088 17.661 343 21.1064 -2.66923 -19.1628 8.4345
96.2205	-6266.07 4.03752 85.7794 -43.4048 343 47.2569 2.71261 43.7482 -17.6621
36.7386	-4871.6 25.9765 -19.9384 16.6556 343 13.0239 7.91122 -10.2784 1.17812
122.57	-5315.12 -31.2421 -72.3997 -93.8376 343 58.8164 -18.7101 -30.5502 -46.6474
119.577	-6204.23 70.6953 -13.6746 95.4663 343 58.264 41.8638 -11.1843 38.949
116.872	-8311.3 -72.2728 -75.6428 -52.0941 343 52.5207 -29.3885 -36.3577 -23.9343
85.6648	-5091.98 -40.209 27.1766 70.5913 343 34.6497 -17.6517 7.80736 28.7761
106.795	-4663.97 14.6323 58.1576 -88.3673 343 51.4462 4.75898 26.5305 -43.8201
89.8427	-4595.85 -14.3625 76.2326 -45.3212 343 47.0254 -10.3662 40.4352 -21.6546
87.808	-5361.47 -10.8587 78.3789 -38.067 343 49.6095 -11.5302 44.7932 -17.9368
68.0809	-4097.04 -32.941 14.9128 57.6846 343 30.5455 -17.7245 9.17035 23.1252
136.267	-6550.88 -72.7875 69.6083 91.7905 343 69.024 -37.297 34.5405 46.6926
100.407	-6092.31 50.46 -50.0146 70.9505 343 52.9995 24.0402 -29.4964 36.8914
96.888	-6257.61 81 -2.4592 53.1058 343 49.0374 42.0102 9.36851 23.4955
73.6011	-4076.11 -71.0441 18.9422 3.32329 343 35.4221 -34.0098 9.60416 2.41294
70.8545	-3701.01 5.99228 6.66321 -70.2855 343 38.7087 4.99959 -2.05422 -38.3295
59.707	-4012.5 -3.65777 2.9123 59.5237 343 30.8076 -4.14907 2.26939 30.4425
111.03	-5708.74 -75.5378 -36.1996 -72.8782 343 53.4937 -41.505 -16.3594 -29.5175
99.8396	-5688.58 -76.0579 4.98558 64.4847 343 51.2458 -36.614 6.12771 35.327
106.793	-5939.95 51.5366 22.5119 90.7855 343 57.7261 28.5597 14.8749 47.9102
124.494	-4979.82 37.2482 44.9292 109.967 343 66.2612 18.9495 30.6579 55.6018
87.2773	-4574.63 -17.4834 -40.0586 75.5445 343 48.6807 -12.8662 -26.8789 38.4941
90.0821	-3474.47 16.815 88.352 -5.09536 343 39.6106 5.89325 38.8197 -5.22471
133.347	-4249.54 5.90093 128.29 -35.8922 343 61.4265 -7.29153 58.299 -17.9241
54.1904	-3450.99 10.6953 28.8365 -44.6169 343 30.4988 11.8796 15.2961 -23.5601
96.9356	-5323.74 51.1619 -30.0713 -76.6465 343 45.8196 27.73 -7.76107 -35.6406
93.0855	-5609.95 28.7272 86.378 -19.4549 343 35.0004 8.01534 32.0776 -11.4807
88.1671	-2274.81 37.08 78.6593 14.5338 343 45.9357 22.2691 39.8923 4.77264
77.5616	-3249.82 63.6588 28.4142 33.9998 343 44.2859 31.9961 21.2891 22.0061
77.3607	-4319.55 -47.8604 -1.53547 -60.7594 343 44.1615 -22.8495 1.71663 -37.7517
96.4792	-6348.99 95.0652 -12.7711 10.3798 343 50.4439 50.3089 -3.15579 -1.9091
125.555	-4737.46 84.8829 -77.2968 50.8356 343 60.8929 40.4231 -34.6081 29.6006
116.388	-7050.05 -23.5407 -103.078 48.6499 343 66.4639 -15.0504 -57.9109 28.9355
114.987	-6494.84 84.3276 74.8892 22.4181 343 58.2136 38.0485 43.377 7.71821
97.1512	-5047.61 -16.3058 -9.4911 -95.3017 343 49.1498 -2.68149 -3.9286 -48.9191
69.512	-3689.59 45.8419 -47.0943 -22.6399 343 36.3206 26.4912 -22.9453 -9.53487
59.5514	-1620.08 -38.5735 -35.7547 -27.9296 343 30.1221 -17.1828 -18.0292 -16.9422
131.165	-6639.39 -65.8083 -40.1247 -106.13 343 72.0139 -44.601 -23.6537 -51.3542
101.14	-6156.43 76.6515 65.7412 -5.64348 343 41.7958 28.3081 30.7053 -1.65228
112.248	-4527.24 -65.121 -82.0562 -40.3189 343 54.4892 -32.3312 -39.3632 -19.3468
91.7609	-4115.52 -1.14516 13.1753 90.8029 343 51.5882 -4.94599 15.6975 48.8924
128.648	-5584.86 -18.5514 126.759 11.7543 343 61.3452 -7.36884 59.9562 10.6861
124.903	-6360.29 -50.7579 -109.783 -31.1769 343 65.8699 -30.4154 -56.8449 -13.5058
24.4228	-3091.09 17.3879 2.23082 17.0046 343 15.5375 5.32751 0.697655 14.5789
118.147	-5224.8 -49.2327 -103.286 -29.4409 343 56.4368 -16.4323 -51.3355 -16.726
103.638	-6375.93 -48.9931 -38.4076 82.8579 343 45.2522 -24.5584 -18.3989 33.2585
77.8266	-4389.66 -60.3275 23.9376 42.9483 343 46.6209 -36.449 15.3105 24.7096
108.635	-7038.1 -65.9576 0.0810306 -86.3198 343 57.4578 -24.427 0.544745 -52.0041
83.1511	-4514.06 41.4326 -48.4499 -53.3858 343 37.9526 18.6133 -25.7438 -20.7654
124.316	-5903.36 -46.4103 115.11 7.07774 343 62.3705 -26.117 56.1163 7.67709
121.795	-5389.87 6.94839 90.5802 81.1236 343 57.2586 4.89943 40.3106 40.3683
111.027	-6090.48 -34.7198 7.12624 105.218 343 54.432 -23.2314 4.76662 48.9941
63.7703	-4150.26 1.73423 -35.1564 53.1758 343 40.4494 1.11362 -17.059 36.6593
64.3138	-4251.83 -38.3277 -46.73 21.99 343 29.4084 -15.2654 -21.0288 13.77
86.491	-4428.89 -72.7591 18.5843 -42.912 343 48.2194 -41.5743 3.23523 -24.2121
84.7957	-4161.48 38.8296 8.64934 -74.8849 343 48.1258 20.2361 3.87975 -43.4919
