183.802	-13396.6 -21.8736 -107.826 -147.236 343 93.0362 -14.544 -56.699 -72.3148
213.341	-14833.3 20.5208 -19.6234 -211.443 343 107.562 8.9982 -7.82913 -106.898
208.523	-13947 111.781 -78.2733 157.671 343 99.6918 50.8857 -42.669 74.3536
204.607	-14600.8 42.3191 22.1684 -198.951 343 103.394 21.2722 8.92812 -100.787
202.674	-12635.7 20.9206 -78.2887 185.769 343 101.026 10.7952 -36.4062 93.618
213.293	-13656.9 -13.2625 -3.39301 212.853 343 108.334 -6.29723 -0.232979 108.151
220.837	-15633.8 55.6018 107.737 184.582 343 114.255 29.5762 57.7737 94.0296
202.588	-12737.9 -20.2449 -157.517 125.778 343 96.8341 -12.6544 -76.6727 57.7755
195.132	-11376.5 22.5701 -123.355 -149.5 343 97.3118 16.8488 -67.9507 -67.59
232.451	-14764.5 52.3907 -85.5077 209.707 343 119.194 24.139 -50.1979 105.378
209.73	-14182.7 24.3984 83.1788 190.979 343 106.469 8.48646 41.9296 97.4964
199.335	-14008 -24.5667 0.104481 -197.815 343 104.077 -7.99569 0.50425 -103.768
225.928	-14382.6 -33.2671 -60.8919 215.009 343 111.804 -12.6368 -29.31 107.151
192.79	-10119.3 0.95698 -5.24491 -192.717 343 100.202 8.33369 -4.18481 -99.7668
203.089	-14140.3 66.9303 -96.1335 165.903 343 99.3439 27.476 -45.845 83.7407
208.542	-13945.6 -110.018 -29.7311 -174.648 343 103.696 -57.5333 -12.8709 -85.3058
218.275	-13562.1 -23.2949 35.6106 214.087 343 108.174 -14.5411 23.0981 104.674
200.424	-12512.7 -90.0086 106.115 144.249 343 100.396 -45.3711 56.2254 69.7103
221.442	-13031.9 15.8816 -103.345 195.202 343 106.462 11.7914 -48.0068 94.2892
190.001	-12799.3 -0.427852 77.8935 -173.3 343 91.6304 3.54777 35.3308 -84.4706
221.392	-16082.2 -15.9067 -57.4762 213.209 343 108.305 1.55069 -28.4133 104.501
188.231	-9450.5 -128.321 -128.138 50.4512 343 94.4022 -62.7424 -66.7047 22.9271
207.512	-14698.1 20.3444 54.2281 199.265 343 102.2 7.28641 21.9237 99.5546
197.046	-12459.5 -85.2029 -52.5456 -169.725 343 93.802 -42.7002 -27.1203 -78.9937
198.463	-12831.6 -3.89811 -109.961 165.169 343 101.39 1.7465 -60.091 81.645
209.059	-14170.7 -58.3494 145.021 -138.816 343 104.801 -25.0356 73.0755 -70.8276
208.703	-12919.5 -82.8571 -80.3004 -173.907 343 106.648 -41.3164 -39.0697 -90.224
199.28	-14116.4 -135.571 113.405 -92.0434 343 107.051 -73.9101 58.5474 -50.69
206.465	-13054.8 -20.1236 110.854 -173.016 343 102.359 -4.75644 54.2615 -86.6625
215.402	-13178.1 -53.2762 -16.4946 208.057 343 111.983 -24.4491 -5.65989 109.135
189.134	-13279.6 -5.45798 -17.8978 -188.206 343 89.0152 -5.04862 -7.69206 -88.5385
205.861	-13935.6 -27.3415 -23.2511 -202.708 343 102.956 -7.91129 -15.5514 -101.467
222.736	-15809.7 -161.684 12.3018 -152.703 343 111.894 -78.4827 6.76521 -79.4671
220.349	-15192.3 -49.8419 56.8278 -206.978 343 112.49 -27.858 31.3482 -104.38
199.757	-13819.4 73.5868 4.43309 -185.657 343 105.307 39.2584 7.47238 -97.4298
213.396	-14723.4 -73.4276 122.189 158.796 343 105.951 -34.0179 63.7891 77.4553
216.032	-14487.8 -122.064 54.0139 -169.861 343 107.537 -56.5766 31.3354 -85.9145
212.997	-13063.4 -85.0588 -73.7244 180.825 343 106.41 -41.1627 -30.7371 93.1881
182.864	-12865 82.2993 19.7241 -162.102 343 86.1151 33.3351 11.7976 -78.5201
205.259	-14143.8 -56.9484 28.2387 195.168 343 105.203 -29.096 9.46136 100.656
206.546	-13222.1 -30.428 146.472 -142.413 343 105.445 -13.3494 75.2278 -72.6724
216.743	-13525.1 54.758 -99.5347 184.586 343 108.015 26.8711 -47.8909 93.0145
225.318	-15246.4 122.019 99.8825 -160.945 343 109.94 57.1543 44.3137 -82.804
193.03	-11590.1 86.6756 -3.6921 172.437 343 99.2592 42.5055 -1.37039 89.6873
213.629	-13287.5 207.339 -50.6741 8.94953 343 108.114 105.38 -24.0315 2.472
202.38	-13151.5 -86.2576 10.7888 -182.759 343 102.309 -46.5877 3.70385 -91.0111
213.045	-14413.7 74.0044 -18.1969 -198.948 343 106.806 36.4578 -11.059 -99.7795
194.514	-12592.7 -16.6945 69.9588 180.729 343 100.499 -10.9108 44.2487 89.5713
208.395	-13519.5 -93.5776 15.4297 -185.563 343 105.831 -47.1057 9.06646 -94.3353
209.139	-13392.2 -17.0309 -25.1074 -206.927 343 100.809 -11.2871 -14.1645 -99.1687
227.236	-15166.4 -18.153 -63.0631 -217.554 343 114.38 -6.64565 -31.223 -109.835
195.772	-13061.7 110.488 -22.7262 160.008 343 96.7603 55.1933 -14.8734 78.0707
190.04	-12292.3 -69.8055 -45.9248 -170.685 343 97.3139 -38.1657 -22.9884 -86.5154
190.595	-12179.9 -88.0622 33.1408 -165.75 343 99.1874 -46.3549 15.7396 -86.2648
218.766	-15947.3 -155.625 -29.7846 -150.839 343 113.995 -84.232 -13.6093 -75.5954
216.146	-14091.8 -134.873 26.6827 166.783 343 109.062 -70.2433 15.3453 82.006
202.464	-13579.9 10.2321 -98.4102 -176.642 343 98.8843 9.88312 -48.5923 -85.5525
175.499	-11106.1 56.1788 -125.987 -108.496 343 94.6533 32.6152 -66.9468 -58.4263
218.336	-14567.4 -170.986 -58.7067 -122.426 343 112.157 -89.1448 -33.2939 -59.3629
205.366	-13590.6 -117.441 112.516 -125.391 343 99.6927 -56.6126 51.2465 -64.0893
197.066	-11642.7 -25.5561 -7.17086 -195.27 343 94.4709 -11.3136 3.95939 -93.7074
208.414	-12901.1 115.592 -137.638 -105.501 343 104.848 53.4372 -74.502 -50.8621
204.555	-13175.7 -107.902 41.7679 168.687 343 104.731 -53.5335 22.161 87.2448
182.421	-12644.5 -7.53539 -110.32 -145.087 343 91.6251 -2.45264 -59.1674 -69.9168
171.228	-11887.3 -14.4444 -11.4128 -170.235 343 82.0729 -9.23313 -6.59458 -81.2848
203.951	-13875.9 4.52788 65.4068 -193.125 343 104.088 2.58537 32.9978 -98.685
215.46	-14347.2 17.2204 9.76017 214.548 343 108.745 18.7168 7.40436 106.866
193.903	-12847.3 -16.8821 -105.015 -162.127 343 95.7448 -16.1486 -52.5042 -78.4194
192.463	-10803.4 -123.623 79.9803 123.946 343 92.6147 -55.58 37.9388 63.6317
193.845	-12907.9 116.69 -32.619 -151.312 343 94.9212 58.7929 -13.2302 -73.3375
190.268	-12447.4 50.5739 139.217 119.427 343 90.2482 34.3277 66.9435 49.8491
191.293	-12431.2 59.9119 96.4717 -153.938 343 93.8394 24.248 45.5576 -78.3733
219.179	-13608.9 -85.0762 -128.745 -155.648 343 109.522 -41.2618 -66.5115 -76.6079
204.628	-13093.5 -98.6471 -28.6701 -176.973 343 102.424 -47.6613 -17.213 -89.0105
209.586	-13618.6 129.82 39.1281 -159.818 343 112.697 66.8591 18.2223 -88.8725
204.827	-13413 85.863 -137.657 125.029 343 101.272 43.0193 -69.1393 60.2082
219.162	-14716.6 186.294 51.8417 -103.144 343 110.732 96.7681 23.2297 -48.5576
