165.518	-10615.5 -41.3006 157.043 -32.062 343 86.8034 -15.8323 83.7373 -16.4996
168.12	-9515.39 63.2335 -27.8484 153.265 343 85.8869 36.7224 -15.6044 76.0561
168.524	-11575.9 -71.07 -104.234 -111.735 343 84.6416 -32.4319 -50.149 -59.9787
125.842	-7169.13 -83.1434 -11.3387 -93.7801 343 61.9082 -36.4435 -9.52206 -49.1307
161.618	-9386.79 7.04098 -89.2709 -134.541 343 80.1298 2.34302 -46.0447 -65.5376
117.766	-8019.45 -26.6196 -19.7968 112.996 343 60.3309 -17.4877 -3.97982 57.6034
184.916	-12643.8 -52.4812 90.3348 -152.576 343 89.7773 -24.1808 48.9921 -71.2393
142.704	-10225.9 -15.5893 121.034 73.9736 343 81.5285 -8.5074 64.4833 49.1571
154.626	-6970.8 92.3672 -68.0215 103.684 343 72.882 41.7686 -26.8385 53.3561
169.977	-9230.17 -121.271 -90.4539 77.4822 343 87.0323 -64.7344 -45.6184 36.0977
142.998	-9518.44 -66.6551 -38.8711 120.393 343 79.785 -41.1241 -22.4055 64.5946
117.796	-6700.16 -46.6684 -7.51707 -107.895 343 57.857 -17.08 -3.92323 -55.139
123.034	-6873.17 16.9096 111.209 -49.8394 343 66.359 5.75903 60.5537 -26.5256
165.146	-8745.91 -52.9322 26.6969 -154.138 343 82.6263 -21.9978 13.2185 -78.5396
106.237	-7267.8 -51.6852 -73.5462 56.6203 343 52.5948 -25.0483 -35.062 30.157
148.358	-7417.41 64.4412 -110.407 -75.2845 343 78.6626 32.9193 -63.1403 -33.428
135.352	-7655.62 -32.128 64.8581 114.373 343 67.1502 -20.4115 30.0136 56.4952
191.996	-11258.2 3.31928 -83.1638 -173.018 343 92.3722 3.49603 -40.4221 -82.9846
177.081	-11527.3 17.8478 75.0721 159.384 343 93.679 8.24815 34.5591 86.6799
119.723	-5987.17 -69.2449 -29.4081 -93.1336 343 56.559 -32.8081 -14.8385 -43.6161
145.899	-8557.17 42.2563 -7.73927 -139.431 343 72.5661 19.7123 -5.55387 -69.6162
152.026	-8557.36 34.2304 -33.8754 144.196 343 70.3814 12.2339 -22.5434 65.5414
130.111	-7273.39 -82.0697 22.0017 98.5359 343 60.3116 -30.9035 6.83093 51.3401
157.661	-9211.29 -130.266 64.9635 -60.5605 343 85.6557 -71.5698 32.3328 -34.1944
