0	1	0.086173	7	310	800
450 9.02333e-05 0.521119 5.89315e-06 -31.6703 0 0.523555
440 9.15164e-05 0.540889 5.4698e-06 -33.3448 0 0.54306
430 9.47789e-05 0.559262 5.07185e-06 -35.0896 0 0.56124
420 8.94352e-05 0.577684 4.66166e-06 -36.7985 0 0.580164
410 8.60334e-05 0.593772 4.08343e-06 -38.3626 0 0.596184
400 8.80577e-05 0.610984 3.92946e-06 -40.08 0 0.613335
390 8.71874e-05 0.627555 3.51932e-06 -41.7133 0 0.629997
380 8.5696e-05 0.641784 3.2532e-06 -43.209 0 0.643469
370 8.37013e-05 0.657003 2.91747e-06 -44.7641 0 0.659242
360 8.5073e-05 0.670446 2.8382e-06 -46.2534 0 0.672686
350 8.38379e-05 0.684774 2.51308e-06 -47.726 0 0.686713
340 8.53507e-05 0.697097 2.54044e-06 -49.1131 0 0.699104
330 8.0763e-05 0.709368 2.18937e-06 -50.5085 0 0.711195
320 8.43784e-05 0.721605 2.14185e-06 -51.9112 0 0.723307
310 8.12894e-05 0.733948 1.93096e-06 -53.3507 0 0.735807
